"Date","Price","Open","High","Low","Vol.","Change %"
11/1/1987,0.687655,0.722997,0.772647,0.687655,105016,-4.89%
12/1/1987,0.744319,0.737209,0.744319,0.687655,291718,0.96%
1/1/1988,0.822304,0.744319,0.84353,0.722997,148774,10.48%
2/1/1988,0.808085,0.822304,0.822304,0.737209,147317,-1.73%
3/1/1988,0.751429,0.737209,0.808085,0.737209,304844,1.93%
4/1/1988,0.907296,0.751429,0.942837,0.751429,520717,20.74%
5/1/1988,1.01331,0.942837,1.01331,0.907296,377636,7.47%
6/1/1988,0.97078,0.991995,1.01331,0.95657,168084,-2.14%
7/1/1988,1.084159,1.01331,1.084159,0.97078,412571,6.99%
8/1/1988,1.027419,1.027419,1.084159,1.027419,452855,0.00%
9/1/1988,1.041629,1.027419,1.084159,1.01331,777916,1.38%
10/1/1988,1.225857,1.098268,1.445509,1.062844,1790605,11.62%
11/1/1988,1.225857,1.225857,1.296706,1.211647,658450,0.00%
12/1/1988,1.332131,1.211647,1.332131,1.211647,748745,9.94%
1/1/1989,1.530468,1.332131,1.530468,1.261281,1273842,14.89%
2/1/1989,1.537573,1.459619,1.551783,1.459619,1354414,5.34%
3/1/1989,1.623442,1.566677,1.673005,1.510009,1610479,3.62%
4/1/1989,1.970759,1.623442,2.296857,1.595108,4937957,21.39%
5/1/1989,2.077086,1.970759,2.105528,1.864431,2667159,5.40%
6/1/1989,2.077086,2.091306,2.105528,1.999091,1199291,-0.68%
7/1/1989,2.466075,2.077086,2.466075,1.999091,3165845,18.73%
8/1/1989,2.522721,2.522721,2.551043,2.437641,2969694,0.00%
9/1/1989,2.834467,2.466075,2.976179,2.466075,3625020,14.94%
10/1/1989,2.664431,2.834467,3.259705,2.636111,4672836,-6.00%
11/1/1989,2.466075,2.721088,2.749501,2.437641,1454418,-9.37%
12/1/1989,2.239285,2.466075,2.494331,1.757403,3886092,-9.20%
1/1/1990,2.239285,2.239285,2.692753,2.097573,3175200,0.00%
2/1/1990,2.182549,2.210963,2.352687,2.125895,1212750,-1.29%
3/1/1990,2.352687,2.182549,2.352687,2.097573,1861902,7.80%
4/1/1990,2.409329,2.409329,2.749501,2.324263,3067596,0.00%
5/1/1990,2.607777,2.409329,2.891201,2.409329,2427264,8.24%
6/1/1990,3.288027,2.721088,3.514807,2.607777,3673971,20.84%
7/1/1990,2.494331,3.344671,3.798231,2.437641,8165115,-25.42%
8/1/1990,2.210975,2.324263,2.777823,2.040816,5714919,-4.87%
9/1/1990,1.757414,2.210975,2.267573,1.644013,4608450,-20.51%
10/1/1990,1.644013,1.757414,2.125895,1.587301,4663575,-6.45%
11/1/1990,2.154217,1.644013,2.267573,1.587301,4548033,31.03%
12/1/1990,2.409319,2.154217,2.551043,2.040816,4610214,11.84%
1/1/1991,2.834467,2.409319,2.891201,1.984195,4790142,17.65%
2/1/1991,3.089569,2.891201,3.344671,2.777823,6890625,6.86%
3/1/1991,2.919546,3.259705,3.968253,2.607777,11952864,-10.44%
4/1/1991,3.40136,2.919546,3.458072,2.834467,4874814,16.50%
5/1/1991,3.095238,3.40136,3.514807,2.97619,3434004,-9.00%
6/1/1991,2.767904,3.095238,3.214285,2.5,3550680,-10.58%
7/1/1991,2.70838,2.797619,3.095238,2.5,10059840,-3.19%
8/1/1991,2.946476,2.648857,2.97619,2.619047,6019020,11.24%
9/1/1991,2.678571,2.946476,2.97619,2.559523,3337740,-9.09%
10/1/1991,3.035714,2.619047,3.154761,2.5,7229460,15.91%
11/1/1991,3.095238,3.035714,3.273809,2.97619,2418780,1.96%
12/1/1991,3.273809,3.035714,3.333333,2.97619,1981560,7.84%
1/1/1992,2.619047,3.273809,3.392857,2.619047,5537700,-20.00%
2/1/1992,3.154761,2.619047,3.690476,2.619047,5073180,20.45%
3/1/1992,3.095238,3.273809,3.333333,2.97619,848400,-5.45%
4/1/1992,2.738095,2.97619,3.154761,2.559523,3588480,-8.00%
5/1/1992,3,2.797619,3.1875,2.738095,1419460,7.23%
6/1/1992,2.75,2.9375,3.0625,2.625,1439600,-6.38%
7/1/1992,2.2813,2.5,2.75,2.1875,2918400,-8.75%
8/1/1992,2.0938,2.3125,2.3125,2.0625,2313600,-9.46%
9/1/1992,1.7813,2.1563,2.2188,1.6875,2538400,-17.39%
10/1/1992,1.5938,1.6875,1.875,1.4375,3400400,-5.55%
11/1/1992,1.875,1.6875,2,1.5,4575600,11.11%
12/1/1992,2.0625,1.9063,2.3125,1.8125,3749200,8.19%
1/1/1993,2.4688,2.0625,2.875,2,3676800,19.70%
2/1/1993,2.625,2.4375,2.625,2.375,3110400,7.69%
3/1/1993,2.9375,2.5625,3.0625,2.4375,4325200,14.63%
4/1/1993,2.5,2.875,2.9375,2.375,2417200,-13.04%
5/1/1993,2.25,2.375,2.625,2.125,2185200,-5.26%
6/1/1993,2.2188,2.1875,2.375,1.9688,1891600,1.43%
7/1/1993,2.7188,2.3125,2.7188,2.25,2075600,17.57%
8/1/1993,2.5625,2.75,2.75,2.4375,1334400,-6.82%
9/1/1993,2.5938,2.4688,2.625,2.4375,665200,5.06%
10/1/1993,2.6875,2.5938,2.75,2.5,1376800,3.61%
