CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,Asset,QBFDEP,RESTYPE,RESTYPE1,SAVR,AssetinBil
59017,NM,"SAN FRANCISCO, CA",,5/1/2023,10543,4107,FIRST REPUBLIC BANK,"212,638,872.00",176436706,FAILURE,PA,DIF,212.638872
57053,NM,"NEW YORK, NY",2400000,3/12/2023,10540,4106,SIGNATURE BANK,"110,363,650.00",88612911,FAILURE,PA,DIF,110.36365
24735,SM,"SANTA CLARA, CA",16100000,3/7/2023,10539,4105,SILICON VALLEY BANK,"209,026,000.00",175378000,FAILURE,PA,DIF,209.026
15426,NM,"ALMENA, KS",16330,10/23/2020,10538,4104,ALMENA STATE BANK,"65,733.00",64941,FAILURE,PA,DIF,0.065733
16748,NM,"FORT WALTON BEACH, FL",7247,10/16/2020,10537,4103,FIRST CITY BANK OF FLORIDA,"136,566.00",133936,FAILURE,PA,DIF,0.136566
14361,NM,"BARBOURSVILLE, WV",45328,4/3/2020,10536,4102,THE FIRST STATE BANK,"151,808.00",143102,FAILURE,PA,DIF,0.151808
18265,NM,"ERICSON, NE",24465,2/14/2020,10535,4101,ERICSON STATE BANK,"100,879.00",95159,FAILURE,PA,DIF,0.100879
21111,N,"NEWARK, NJ",2136,11/1/2019,10534,4100,CITY NATIONAL BANK OF NEW JERSEY,"120,574.00",111234,FAILURE,PA,DIF,0.120574
58112,NM,"LOUISA, KY",4264,10/25/2019,10532,4098,LOUISA COMMUNITY BANK,"28,163.00",25174,FAILURE,PA,DIF,0.028163
58317,SB,"MAUMEE, OH",1571,10/25/2019,10533,4099,RESOLUTE BANK,"23,292.00",22885,FAILURE,PA,DIF,0.023292
10716,NM,"COOPER, TX",18263,5/31/2019,10531,4097,ENLOE STATE BANK,"36,738.00",31254,FAILURE,PI,DIF,0.036738
30570,SB,"CHICAGO, IL",76455,12/15/2017,10530,4096,WASHINGTON FEDERAL BANK FOR SAVINGS,"166,345.00",143964,FAILURE,PI,DIF,0.166345
17719,NM,"ARGONIA, KS",280,10/13/2017,10529,4095,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,"33,012.00",27466,FAILURE,PA,DIF,0.033012
1802,SM,"SAINT ELMO, IL",8088,5/26/2017,10528,4094,FAYETTE COUNTY BANK,"34,370.00",33972,FAILURE,PA,DIF,0.03437
30003,SB,"MILWAUKEE, WI",131962,5/5/2017,10527,4093,GUARANTY BANK,"1,031,900.00",1002026,FAILURE,PA,DIF,1.0319
58302,NM,"NEW ORLEANS, LA",786550,4/28/2017,10526,4092,FIRST NBC BANK,"3,325,870.00",3032208,FAILURE,PA,DIF,3.32587
35495,NM,"COTTONWOOD HEIGHTS, UT",9874,3/3/2017,10525,4091,PROFICIO BANK,"68,208.00",65042,FAILURE,PA,DIF,0.068208
19328,NM,"CHICAGO, IL",44006,1/27/2017,10524,4090,SEAWAY BANK AND TRUST COMPANY,"297,809.00",256505,FAILURE,PA,DIF,0.297809
34951,NM,"PENNSVILLE, NJ",22158,1/13/2017,10523,4089,HARVEST COMMUNITY BANK,"124,223.00",122177,FAILURE,PA,DIF,0.124223
91,SM,"MULBERRY, AR",6213,9/23/2016,10522,4088,ALLIED BANK,"66,336.00",64713,FAILURE,PA,DIF,0.066336
11297,NM,"WOODBURY, GA",3290,8/19/2016,10521,4087,THE WOODBURY BANKING COMPANY,"21,426.00",21122,FAILURE,PA,DIF,0.021426
35312,NM,"KING OF PRUSSIA, PA",10825,5/6/2016,10520,4086,FIRST CORNERSTONE BANK,"103,307.00",101040,FAILURE,PA,DIF,0.103307
9956,NM,"MEMPHIS, TN",10372,4/29/2016,10519,4085,TRUST COMPANY BANK,"18,998.00",20148,FAILURE,PA,DIF,0.018998
20364,NM,"MILWAUKEE, WI",11773,3/11/2016,10518,4084,NORTH MILWAUKEE STATE BANK,"67,115.00",61493,FAILURE,PA,DIF,0.067115
35156,N,"LONGVIEW, WA",995,10/2/2015,10517,4082,HOMETOWN NATIONAL BANK,"3,785.00",3705,FAILURE,PA,DIF,0.003785
